iter	Passed	Remaining
468	735	832
469	736	830
470	738	828
471	739	827
472	741	825
473	742	824
474	744	823
475	746	821
476	747	819
477	748	817
478	750	816
479	751	814
480	752	812
481	754	810
482	755	809
483	757	808
484	759	806
485	761	804
486	762	803
487	763	801
488	765	799
489	766	798
490	768	796
491	769	794
492	772	794
493	774	793
494	775	791
495	777	789
496	778	788
497	780	786
498	781	784
499	782	782
500	784	781
501	785	779
502	788	778
503	790	777
504	791	775
505	793	774
506	794	772
507	796	771
508	797	769
509	799	767
510	800	766
511	802	764
512	804	763
513	805	761
514	807	760
515	808	758
516	809	756
517	811	754
518	812	753
519	814	751
520	816	750
521	817	749
522	819	747
523	821	745
524	822	744
525	824	742
526	825	740
527	826	739
528	828	737
529	830	736
530	832	734
531	833	733
532	835	732
533	837	730
534	838	728
535	840	727
536	841	725
537	842	723
538	844	722
539	845	720
540	847	719
541	849	717
542	850	716
543	852	714
544	854	713
545	856	711
546	858	710
547	860	709
548	861	707
549	863	706
550	864	704
551	865	702
552	867	701
553	868	699
554	870	697
555	871	696
556	873	694
557	874	692
558	876	691
559	877	689
560	879	688
561	880	686
562	882	684
563	883	682
564	884	681
565	886	679
566	888	678
567	890	677
568	891	675
569	893	673
570	894	672
571	896	670
572	897	668
573	898	667
574	900	665
575	902	664
576	903	662
577	905	660
578	906	659
579	908	657
580	909	655
581	911	654
582	912	652
583	914	651
584	915	649
585	917	647
586	918	646
587	920	644
588	921	643
589	923	641
590	924	640
591	926	638
592	927	636
593	929	635
594	931	633
595	932	632
596	934	630
597	935	629
598	937	627
599	939	626
600	940	624
601	943	623
602	945	622
603	946	620
604	948	619
605	949	617
606	951	615
607	952	614
608	954	612
609	955	611
610	957	609
611	958	607
612	960	606
613	961	604
614	963	602
615	964	601
616	966	599
617	968	598
618	969	596
619	971	595
620	973	593
621	974	592
622	976	590
623	977	589
624	979	587
625	981	586
626	982	584
627	984	583
628	986	581
629	987	580
630	989	578
631	990	576
632	992	575
633	993	573
634	995	572
635	996	570
636	998	568
637	999	567
638	1000	565
639	1002	563
640	1003	562
641	1004	560
642	1006	558
643	1008	557
644	1009	555
645	1011	554
646	1012	552
647	1014	551
648	1015	549
649	1017	547
650	1018	546
651	1020	544
652	1022	543
653	1023	541
654	1025	539
655	1026	538
656	1027	536
657	1029	535
658	1030	533
659	1032	531
660	1033	530
661	1034	528
662	1036	526
663	1037	525
664	1038	523
665	1040	521
666	1041	519
667	1043	518
668	1045	517
669	1046	515
670	1047	513
671	1049	512
672	1050	510
673	1051	508
674	1053	507
675	1054	505
676	1056	503
677	1057	502
678	1059	500
679	1060	499
680	1061	497
681	1063	495
682	1064	494
683	1065	492
684	1067	490
685	1068	489
686	1069	487
687	1071	485
688	1073	484
689	1074	482
690	1076	481
691	1078	480
692	1080	478
693	1081	476
694	1083	475
695	1084	473
696	1086	472
697	1087	470
698	1089	469
699	1090	467
700	1092	465
701	1093	464
702	1095	462
703	1096	461
704	1097	459
705	1099	457
706	1101	456
707	1102	454
708	1104	453
709	1105	451
710	1107	450
711	1108	448
712	1110	446
713	1111	445
714	1112	443
715	1114	441
716	1115	440
717	1117	438
718	1118	437
719	1120	435
720	1121	433
721	1122	432
722	1124	430
723	1125	429
724	1127	427
725	1128	425
726	1130	424
727	1132	422
728	1133	421
729	1135	419
730	1136	418
731	1138	416
732	1140	415
733	1142	413
734	1144	412
735	1145	410
736	1147	409
737	1148	407
738	1149	406
739	1151	404
740	1152	402
741	1153	401
742	1154	399
743	1156	397
744	1157	396
745	1158	394
746	1160	392
747	1161	391
748	1162	389
749	1164	388
750	1165	386
751	1166	384
752	1167	383
753	1169	381
754	1170	379
755	1171	378
756	1173	376
757	1174	375
758	1175	373
759	1177	371
760	1178	370
761	1179	368
762	1181	366
763	1182	365
764	1183	363
765	1185	362
766	1186	360
767	1187	358
768	1189	357
769	1190	355
770	1191	353
771	1192	352
772	1194	350
773	1195	349
774	1197	347
775	1198	345
776	1199	344
777	1201	342
778	1202	341
779	1203	339
780	1204	337
781	1206	336
782	1207	334
783	1208	332
784	1209	331
785	1211	329
786	1212	328
787	1213	326
788	1214	324
789	1216	323
790	1218	321
791	1219	320
792	1220	318
793	1222	317
794	1223	315
795	1224	313
796	1226	312
797	1227	310
798	1228	309
799	1229	307
800	1231	305
801	1232	304
802	1234	302
803	1235	301
804	1236	299
805	1238	298
806	1239	296
807	1240	294
808	1242	293
809	1244	291
810	1245	290
811	1246	288
812	1248	287
813	1249	285
814	1251	283
815	1252	282
816	1253	280
817	1255	279
818	1256	277
819	1257	276
820	1258	274
821	1260	272
822	1261	271
823	1262	269
824	1264	268
825	1265	266
826	1266	264
827	1268	263
828	1269	261
829	1270	260
830	1272	258
831	1273	257
832	1275	255
833	1276	254
834	1278	252
835	1279	251
836	1281	249
837	1282	247
838	1283	246
839	1285	244
840	1287	243
841	1289	241
842	1290	240
843	1292	238
844	1293	237
845	1294	235
846	1296	234
847	1297	232
848	1299	231
849	1300	229
850	1302	228
851	1303	226
852	1305	224
853	1306	223
854	1308	221
855	1309	220
856	1311	218
857	1312	217
858	1314	215
859	1316	214
860	1317	212
861	1319	211
862	1320	209
863	1322	208
864	1323	206
865	1325	205
866	1326	203
867	1328	202
868	1329	200
869	1331	198
870	1332	197
871	1334	195
872	1335	194
873	1337	192
874	1338	191
875	1340	189
876	1341	188
877	1342	186
878	1344	185
879	1346	183
880	1347	182
881	1348	180
882	1350	178
883	1351	177
884	1353	175
885	1354	174
886	1356	172
887	1357	171
888	1359	169
889	1360	168
890	1362	166
891	1363	165
892	1365	163
893	1366	162
894	1367	160
895	1369	158
896	1370	157
897	1372	155
898	1374	154
899	1375	152
900	1377	151
901	1379	149
902	1380	148
903	1381	146
904	1383	145
905	1384	143
906	1386	142
907	1388	140
908	1389	139
909	1390	137
910	1392	136
911	1393	134
912	1394	132
913	1396	131
914	1397	129
915	1399	128
916	1400	126
917	1401	125
918	1403	123
919	1405	122
920	1406	120
921	1408	119
922	1409	117
923	1411	116
924	1412	114
925	1414	113
926	1415	111
927	1417	109
928	1418	108
929	1420	106
930	1421	105
931	1423	103
932	1424	102
933	1426	100
934	1427	99
935	1429	97
936	1431	96
937	1433	94
938	1434	93
939	1436	91
940	1437	90
941	1439	88
942	1441	87
943	1443	85
944	1445	84
945	1447	82
946	1448	81
947	1450	79
948	1451	78
949	1453	76
950	1454	74
951	1456	73
952	1457	71
953	1459	70
954	1460	68
955	1462	67
956	1463	65
957	1465	64
958	1466	62
959	1467	61
960	1469	59
961	1470	58
962	1472	56
963	1473	55
964	1475	53
965	1476	51
966	1477	50
967	1479	48
968	1480	47
969	1482	45
970	1483	44
971	1484	42
972	1486	41
973	1488	39
974	1489	38
975	1491	36
976	1492	35
977	1494	33
978	1495	32
979	1496	30
980	1498	29
981	1499	27
982	1501	25
983	1502	24
984	1504	22
985	1505	21
986	1506	19
987	1508	18
988	1509	16
989	1511	15
990	1512	13
991	1514	12
992	1515	10
993	1516	9
994	1518	7
995	1520	6
996	1521	4
997	1523	3
998	1524	1
999	1526	0
